Protein,True_Family,Predicted_Family,Confidence,Index
AFH41240,1.A.102,1.A.102,0.99999964,3
WP_189658242,1.A.104,1.A.104,0.99999905,7
XP_022087427,1.A.105,1.A.105,0.9999988,10
W8PP26,1.A.106,1.A.106,0.99998176,23
A5UL63,1.A.106,1.A.106,0.99997556,24
M0E5W6,1.A.106,1.A.106,0.99999404,25
D3RXV6,1.A.106,1.A.106,0.99998915,26
Q8WWM9,1.A.107,1.A.107,0.9999566,31
Q92915,1.A.108,1.A.108,0.9999957,34
P01584,1.A.109,1.A.109,1.0,36
A9JTM7,1.A.110,1.A.110,0.99999475,45
R4GK65,1.A.110,1.A.110,0.9999926,46
Q4U8M1,1.A.111,1.A.111,0.9999956,54
Q8IDG4,1.A.111,1.A.111,0.99999595,55
XP_007903208,1.A.114,1.A.114,0.9999981,60
H3CYV8,1.A.114,1.A.114,0.999998,61
WP_062382148,1.A.115,1.W.9,0.06546565,66
Q91DM1,1.A.116,1.A.116,0.99998033,72
AGA19094,1.A.116,1.A.116,0.99996495,73
QII89021,1.A.117,1.A.117,0.95012987,79
Q9J3N8,1.A.117,1.A.117,0.99359787,80
PRW60447,1.A.119,1.A.119,0.999846,89
RYG54403,1.A.119,1.A.119,0.9999027,90
XP_005851849,1.A.119,1.A.119,0.9999578,91
Q8F2Y8,1.A.12,1.A.12,0.9999039,100
P0ACA3,1.A.12,1.A.12,0.99994814,101
B7LBF5,1.A.12,1.A.12,0.9994294,102
KAF2073363,1.A.121,1.A.121,0.999997,111
KNE65670,1.A.121,1.A.121,0.999997,112
XP_005847969,1.A.126,1.A.126,0.9999937,121
OLP87777,1.A.126,1.A.126,0.9979997,122
CAD7625038,1.A.126,1.A.126,0.99999714,123
Q3LZX6,1.A.127,1.A.127,0.99999666,126
YP_009725255,1.A.128,1.A.128,1.0,127
P30405,1.A.129,1.A.129,1.0,128
A9WIT9,1.A.13,1.W.9,0.06522268,143
F8CM01,1.A.13,1.A.13,0.99999285,144
E7RS17,1.A.13,1.A.13,0.9999851,145
B3QY78,1.A.13,8.A.18,0.77460414,146
KAI2464759,1.A.131,1.A.131,0.9999969,154
KKY14299,1.A.131,1.A.131,0.9999907,155
RCL04097,1.A.132,1.A.132,1.0,158
P31845,1.A.134,1.A.134,0.9999975,163
Q03105,1.A.137,1.A.137,0.99999106,165
XP_001687221,1.A.138,1.A.138,0.9999962,170
KAJ9467172,1.A.138,1.A.138,0.9999895,171
XP_025967337,1.A.139,1.A.139,0.9999993,176
CAC5415462,1.A.140,1.A.140,0.9999162,181
KNC21563,1.A.140,1.A.140,0.99998796,182
QCR16160,1.A.141,1.A.141,0.99986863,194
AXG08322,1.A.141,1.A.141,0.9999695,195
WP_248910494,1.A.141,1.A.141,0.9999666,196
NP_044070,1.A.143,1.A.143,0.99999917,199
YP_009448007,1.A.144,1.A.144,0.9999999,203
YP_784320,1.A.145,1.A.145,0.9999974,206
VVB63523,1.A.147,1.A.147,0.9999956,215
NVM01300,1.A.147,1.A.147,0.99999034,216
BBF24341,1.A.149,1.A.149,0.9999863,218
E1Z497,1.A.15,1.W.9,0.06522268,223
Q99442,1.A.15,1.A.15,0.9999987,224
M1V6H9,1.A.18,1.A.18,1.0,226
YP_009165879,1.A.19,1.A.19,0.9999881,231
E5S402,1.A.20,1.A.20,0.9997532,236
XP_020790974,1.A.21,1.A.21,0.9999938,251
XP_015208495,1.A.21,1.A.21,0.9999906,252
NP_001187,1.A.21,1.A.21,0.99999297,253
XP_032502729,1.A.21,1.A.21,0.9999964,254
R7QNM6,1.A.22,1.A.22,0.99999213,266
AUF82136,1.A.22,1.A.22,0.99996996,267
YP_003969926,1.A.22,1.A.22,0.9999498,268
Q96GZ6,1.A.26,1.A.26,0.9999484,278
O44196,1.A.26,1.A.26,0.9999951,279
L9YYI5,1.A.26,1.A.26,0.9999701,280
Q93PJ3,1.A.29,1.A.29,0.9999894,285
Q814I5,1.A.29,1.A.29,0.9999783,286
A4JYY8,1.A.32,1.A.32,0.994865,289
